title,author,genre,publication_year,isbn,stock,lending_status
Re-engineered cohesive architecture,Tammy Huff,1,2008,978-0-9900777-0-1,0,2
Inverse bandwidth-monitored secured line,Anna Johnson,4,2021,978-1-85698-846-9,0,2
Vision-oriented dynamic instruction set,石川 あすか,1,1988,978-0-14-310789-7,0,2
Exclusive zero tolerance knowledgebase,遠藤 零,4,2013,978-0-652-44113-0,1,1
Multi-layered web-enabled task-force,Catherine Herrera,8,2005,978-0-473-22178-2,1,1
Devolved fault-tolerant neural-net,佐藤 里佳,2,2007,978-0-8354-2494-3,0,2
Synergistic multimedia function,Chris Randall,3,2015,978-0-9853710-0-5,2,1
Cloned reciprocal productivity,林 春香,6,1996,978-0-223-47210-5,0,2
Focused attitude-oriented protocol,林 涼平,8,1982,978-1-07-895754-0,1,1
Customer-focused homogeneous utilization,山田 くみ子,1,1992,978-1-77980-944-5,1,1
Vision-oriented executive instruction set,山本 拓真,4,1981,978-1-69504-382-4,1,1
Exclusive neutral task-force,Debbie Donaldson,2,2010,978-1-02-118993-6,2,1
Switchable asymmetric data-warehouse,Doris Griffin,1,2010,978-0-322-34879-0,2,1
Down-sized foreground superstructure,Joyce Sweeney,8,1988,978-1-889148-85-4,2,1
Configurable composite circuit,伊藤 陽子,8,1989,978-1-151-43218-6,2,1
Face-to-face impactful firmware,Joshua Bass,2,2003,978-1-64781-226-3,0,2
Intuitive zero-defect archive,松田 陽子,3,2002,978-0-89656-440-4,1,1
Expanded impactful conglomeration,Larry Villanueva,4,2011,978-1-177-67519-2,0,2
Organized upward-trending artificial intelligence,Bryan Smith,2,2019,978-1-288-71667-8,1,1
Mandatory client-server budgetary management,林 京助,1,1990,978-1-09-668858-7,1,1
Up-sized tangible focus group,Meghan Dawson,5,1981,978-1-4394-1718-8,2,1
Front-line coherent leverage,藤原 晃,5,1992,978-1-308-00673-4,1,1
Multi-tiered logistical conglomeration,Sheila Rivera,6,2016,978-0-88001-888-3,2,1
Re-contextualized dynamic focus group,鈴木 太一,8,1998,978-1-972241-39-4,0,2
Synergistic reciprocal concept,David Chapman MD,4,2004,978-0-16-408495-5,1,1
Organic coherent open system,Amanda Garcia,4,1996,978-0-85658-123-6,2,1
Assimilated background info-mediaries,渡辺 稔,5,1982,978-1-86110-615-5,2,1
Open-architected full-range matrix,長谷川 英樹,3,2009,978-1-937180-68-3,1,1
Automated encompassing function,山本 裕美子,4,2002,978-0-498-41107-6,2,1
Configurable content-based frame,近藤 直子,2,2004,978-1-75661-494-9,0,2
Function-based background methodology,Brent Larsen,2,1993,978-0-9821872-5-8,0,2
Phased mission-critical firmware,Kelsey Grant,6,2013,978-0-12-297369-7,1,1
Virtual heuristic support,中村 明美,7,2022,978-1-67794-267-1,1,1
Open-architected non-volatile complexity,山本 明美,1,2021,978-0-211-27291-5,2,1
Multi-layered encompassing database,山口 健一,3,2017,978-1-946278-08-1,1,1
Multi-channeled neutral instruction set,Mindy Bernard,1,1983,978-0-19-398301-4,2,1
Decentralized background access,Jo Young,4,2007,978-1-937047-54-2,1,1
Fundamental multi-tasking toolset,Vanessa Davidson,7,1995,978-0-01-549411-7,1,1
Multi-tiered real-time encoding,Peter Mitchell,4,2018,978-1-890045-85-2,2,1
Optimized next generation superstructure,鈴木 裕美子,3,1995,978-1-156-55392-3,0,2
Cross-platform fault-tolerant challenge,森 花子,8,2006,978-1-299-20639-7,1,1
Re-engineered encompassing focus group,田中 治,4,1981,978-1-951871-86-4,1,1
Implemented modular knowledge user,James Howard,8,2021,978-1-873604-79-3,2,1
Assimilated logistical alliance,Gabriel Simmons,8,2013,978-1-79756-033-5,0,2
Proactive empowering forecast,Christine Giles,1,1982,978-1-84510-534-1,1,1
Reactive fresh-thinking conglomeration,中村 春香,5,1987,978-0-583-68706-5,0,2
Programmable contextually-based utilization,Whitney Mckay,2,2019,978-1-65068-801-5,1,1
Synchronized uniform functionalities,Scott Lam,6,2001,978-1-4984-3423-2,0,2
Team-oriented eco-centric encoding,伊藤 七夏,1,2006,978-0-437-73756-4,0,2
Optimized asynchronous orchestration,山田 春香,3,2019,978-1-57794-685-4,1,1
Multi-channeled foreground installation,山本 千代,1,1983,978-0-14-785689-0,2,1
Total fault-tolerant circuit,Phillip Gardner,4,2006,978-0-11-733795-4,1,1
Front-line tertiary encryption,田中 千代,6,2021,978-1-187-82758-1,2,1
Optimized holistic initiative,森 知実,6,2018,978-0-446-39033-0,0,2
Ergonomic cohesive infrastructure,Tracy Summers,2,1988,978-1-224-59174-1,0,2
Mandatory full-range extranet,中村 和也,4,1997,978-0-279-25904-0,0,2
Diverse interactive archive,松本 裕美子,8,2023,978-0-03-748155-3,0,2
Persistent coherent matrices,Adam Jimenez,4,1998,978-1-195-99652-1,0,2
Cross-platform context-sensitive interface,Christopher Williams,7,1998,978-0-396-79979-5,1,1
Enterprise-wide reciprocal portal,Andrew Oneal,1,1992,978-1-82866-000-3,2,1
Digitized 4thgeneration help-desk,Michael Gordon,7,1999,978-0-623-40173-6,1,1
Synergized methodical conglomeration,近藤 和也,3,2004,978-1-898117-66-7,2,1
Cloned motivating Internet solution,Melissa Gonzales,4,2022,978-0-15-502419-9,1,1
Streamlined real-time implementation,石川 晃,8,2015,978-0-7572-1475-2,0,2
Triple-buffered 24/7 definition,池田 千代,8,1985,978-1-83983-876-7,0,2
Monitored executive attitude,Lauren Cook,2,1982,978-0-247-77857-3,2,1
Ergonomic 5thgeneration data-warehouse,Kristy Davis,7,2015,978-1-79620-902-0,2,1
Operative demand-driven info-mediaries,斎藤 桃子,1,1981,978-1-294-69611-7,2,1
Versatile static workforce,Eric Sherman,5,2005,978-0-919398-03-0,1,1
Ameliorated modular hub,伊藤 明美,2,2015,978-0-369-15483-5,0,2
Assimilated empowering time-frame,Lisa Harmon,3,2009,978-1-78582-543-9,1,1
Triple-buffered mission-critical info-mediaries,三浦 くみ子,7,1988,978-1-81631-139-9,2,1
De-engineered zero administration Graphical User Interface,Diane Pollard,8,1990,978-0-10-171354-2,2,1
Optional responsive moderator,Rebecca Chan,5,1986,978-1-363-21620-8,2,1
Right-sized disintermediate open architecture,長谷川 洋介,3,2022,978-1-04-915374-2,1,1
Adaptive web-enabled firmware,Troy White,3,2016,978-1-74948-910-3,0,2
Robust national adapter,田中 幹,4,2009,978-1-72699-773-7,1,1
Polarized executive adapter,Jessica Wiggins,5,2000,978-1-924446-07-5,2,1
Implemented object-oriented info-mediaries,Jill Gonzales,7,1995,978-0-203-40399-0,0,2
Mandatory intermediate migration,森 稔,4,2007,978-0-8408-6962-3,1,1
Automated systemic access,阿部 裕樹,7,1999,978-0-253-49297-5,1,1
Multi-lateral mission-critical focus group,Victoria Olson,2,2004,978-1-08-757968-9,2,1
Streamlined systematic throughput,Katherine Santos,5,2023,978-1-873681-91-6,1,1
Integrated object-oriented time-frame,Tony Harris,3,2008,978-0-8497-0704-9,0,2
Right-sized demand-driven open architecture,William Barry,3,1997,978-1-111-49973-0,1,1
Robust real-time hardware,山口 治,3,2018,978-1-71336-202-9,2,1
Digitized 24hour knowledgebase,Calvin Dunn,2,2018,978-0-294-81100-1,1,1
Decentralized explicit policy,Alan Mcdonald,8,1980,978-1-07-043536-7,2,1
Distributed clear-thinking workforce,Veronica Baxter,1,1998,978-0-202-48255-2,0,2
Assimilated human-resource paradigm,David Alexander,5,2021,978-1-03-788681-2,2,1
Self-enabling optimal neural-net,James Lutz,2,2018,978-0-657-42975-1,0,2
Managed homogeneous info-mediaries,Paul Hill,3,2019,978-0-87383-784-2,0,2
Multi-layered local pricing structure,Melissa Hall,5,1987,978-0-281-42920-2,1,1
Persistent stable analyzer,Jennifer Garcia,3,1989,978-1-256-09655-9,2,1
Monitored multimedia access,Megan Garcia,7,1999,978-0-7653-3826-6,0,2
User-centric directional contingency,山本 裕樹,8,1995,978-0-296-42024-9,2,1
Organized scalable extranet,田中 くみ子,8,2009,978-0-423-13028-7,2,1
Focused zero tolerance initiative,山口 晃,1,1983,978-1-86846-819-5,0,2
Fully-configurable mission-critical projection,森 智也,6,2016,978-0-7480-7737-3,1,1
Focused object-oriented frame,加藤 稔,2,2015,978-0-477-23468-9,0,2
Digitized object-oriented firmware,吉田 千代,3,2022,978-1-55148-472-3,0,2
Total intermediate orchestration,Angela Bernard,4,1997,978-0-04-030377-4,0,2
Networked homogeneous implementation,Brian Williams,2,2019,978-1-116-14424-6,2,1
Diverse client-server Graphic Interface,Samuel Cox,5,2007,978-0-276-81101-2,2,1
Managed holistic success,清水 春香,3,1987,978-1-74657-021-7,1,1
Team-oriented optimal intranet,Kari Oconnor,7,1981,978-1-4932-6073-7,0,2
Expanded high-level open architecture,阿部 亮介,8,2019,978-1-01-849184-4,1,1
Fully-configurable background projection,三浦 さゆり,1,2018,978-0-289-11672-2,2,1
Phased fault-tolerant model,山田 あすか,5,2019,978-1-186-44608-0,1,1
Synergistic multi-tasking solution,William Vaughn,7,2004,978-0-9659344-9-7,1,1
De-engineered motivating Graphic Interface,佐藤 美加子,8,1988,978-0-272-85298-9,2,1
Operative leadingedge paradigm,前田 幹,6,1983,978-0-7451-5099-4,1,1
Open-architected even-keeled focus group,Pamela Walker,2,1997,978-0-18-291409-8,1,1
Diverse even-keeled customer loyalty,Dorothy Collins,4,1982,978-0-12-133753-7,0,2
Multi-layered tangible benchmark,林 くみ子,1,1994,978-1-272-23298-6,2,1
Secured systemic strategy,吉田 里佳,3,2010,978-1-03-713265-0,0,2
Horizontal reciprocal synergy,佐藤 浩,5,2006,978-0-243-52467-9,1,1
Multi-tiered impactful challenge,Ellen Gregory,5,2011,978-0-16-774183-1,0,2
Enhanced global knowledgebase,James Mccarty,8,2016,978-0-361-41999-4,2,1
Enterprise-wide human-resource instruction set,橋本 稔,8,1980,978-0-360-22989-1,1,1
Sharable 5thgeneration structure,Aaron Sexton,5,1988,978-0-08-887137-2,2,1
Self-enabling web-enabled standardization,清水 涼平,6,1984,978-1-988055-85-5,0,2
Synergized zero administration initiative,Mr. Jesse Calhoun,5,2005,978-0-216-08562-6,2,1
Future-proofed national Graphical User Interface,Alicia Ballard MD,7,2006,978-0-7526-8169-6,0,2
Implemented intangible projection,松田 花子,6,1997,978-0-348-24699-5,1,1
Pre-emptive upward-trending complexity,山本 零,4,1987,978-0-03-451340-0,0,2
Configurable attitude-oriented Graphic Interface,Jacqueline Palmer,1,2020,978-1-283-96384-8,2,1
Digitized global array,佐々木 あすか,4,1997,978-0-203-44205-0,0,2
Upgradable bandwidth-monitored paradigm,Lisa Jackson,4,1989,978-0-314-93069-9,0,2
Managed next generation budgetary management,中村 さゆり,4,2022,978-1-00-795751-1,2,1
Virtual bi-directional help-desk,山田 智也,1,2013,978-1-58424-993-1,1,1
Automated disintermediate budgetary management,David Olsen,5,1982,978-0-644-35751-7,0,2
Reduced secondary paradigm,Karen Powell,7,2014,978-0-946721-51-1,1,1
Configurable client-driven groupware,前田 学,6,2020,978-0-535-49963-0,2,1
Enterprise-wide multimedia algorithm,William Burns,8,2002,978-1-4622-4584-0,2,1
Cross-group client-server installation,藤田 翼,6,2023,978-0-487-07561-6,1,1
Function-based hybrid circuit,Brittany Smith,8,1996,978-1-137-72693-3,1,1
Managed contextually-based groupware,佐藤 結衣,3,2002,978-0-02-446384-5,0,2
Customer-focused heuristic challenge,Brooke Hampton,8,2004,978-1-4948-3465-4,2,1
Ameliorated client-driven ability,Gabriella Marshall,5,1992,978-1-273-28893-7,0,2
Triple-buffered real-time complexity,Jessica Perez,4,1985,978-0-425-02561-1,0,2
Synergized 24hour analyzer,石川 知実,8,2014,978-0-8091-6828-6,0,2
Multi-lateral object-oriented implementation,遠藤 晃,1,1986,978-0-7819-2115-2,1,1
Future-proofed directional strategy,Kelsey Smith,7,2004,978-0-01-331597-1,0,2
Operative national benchmark,坂本 里佳,2,2011,978-0-379-86235-5,0,2
Synchronized optimizing productivity,藤井 聡太郎,1,1983,978-1-83294-844-9,1,1
Organized even-keeled Graphic Interface,Jason Mitchell,8,1990,978-0-490-31254-8,2,1
Multi-channeled discrete installation,田中 くみ子,3,1993,978-0-9685638-6-1,2,1
Triple-buffered hybrid migration,Richard Mccann,7,1984,978-0-09-263167-2,1,1
Optional mission-critical model,Michelle Cummings,7,2019,978-0-233-15959-1,2,1
Cross-platform global standardization,Brenda Wells,1,2018,978-1-194-57619-9,1,1
Universal attitude-oriented infrastructure,Pamela Jordan,1,2015,978-1-64099-829-2,0,2
Integrated full-range open system,小川 直樹,2,2003,978-1-4975-2538-2,0,2
Phased responsive implementation,山下 裕樹,7,1997,978-0-529-71539-5,2,1
Horizontal didactic synergy,Mary Hill,1,1987,978-0-901747-15-0,2,1
Programmable composite monitoring,Scott Hall,2,1980,978-1-205-42297-2,0,2
Versatile stable system engine,Veronica Benson,1,2019,978-1-276-54842-7,0,2
Exclusive solution-oriented data-warehouse,佐藤 直子,4,2013,978-0-7918-8033-3,2,1
Seamless demand-driven Graphical User Interface,田中 稔,3,2011,978-1-109-51632-6,0,2
Distributed logistical instruction set,Jesus Roberts,4,1996,978-1-5169-8066-6,2,1
Organized encompassing strategy,Danny Mccoy,1,1980,978-1-81984-309-5,0,2
Re-contextualized value-added solution,小林 裕太,1,1996,978-0-217-44921-2,0,2
Persistent bi-directional alliance,岡田 幹,7,2007,978-1-219-61063-1,0,2
Quality-focused static challenge,Travis Taylor,8,2008,978-0-601-02139-0,0,2
Intuitive upward-trending emulation,James Olson,8,1984,978-0-7015-2907-9,0,2
Synchronized 5thgeneration project,Natasha Morris,4,2011,978-1-4431-8240-9,1,1
Profound systemic data-warehouse,三浦 里佳,8,1983,978-1-68855-001-8,1,1
Versatile maximized open system,Julie Stein,2,2006,978-0-403-22998-7,0,2
Expanded mobile application,石井 美加子,1,2009,978-1-338-56726-7,2,1
Ergonomic well-modulated hierarchy,高橋 聡太郎,3,2016,978-1-63458-942-0,0,2
Centralized impactful support,長谷川 里佳,1,1981,978-0-483-79176-3,1,1
Persistent asymmetric functionalities,Shawn Miranda,5,1981,978-0-03-181946-8,0,2
Cross-group explicit moratorium,Sydney Davis,2,1989,978-0-263-27089-1,2,1
Horizontal scalable artificial intelligence,Jacqueline Garcia,2,1998,978-0-536-87533-4,2,1
Assimilated client-server orchestration,Jessica Adkins,2,1984,978-0-295-82879-4,2,1
Polarized maximized model,橋本 明美,6,1985,978-1-213-13507-9,1,1
Grass-roots 6thgeneration encryption,田中 千代,4,2009,978-0-17-072253-7,0,2
Face-to-face analyzing service-desk,Jeffrey Keller,7,2022,978-0-9643276-9-6,1,1
Function-based local budgetary management,Terry Cordova,5,1997,978-1-62506-303-8,1,1
Synergistic explicit system engine,Michael Chambers,4,2021,978-1-63313-031-9,1,1
User-centric dynamic encoding,石井 拓真,2,1999,978-0-662-39581-2,2,1
Operative radical Local Area Network,松本 裕美子,2,1987,978-0-533-63689-1,2,1
Seamless full-range methodology,伊藤 洋介,6,2020,978-0-8353-2405-2,0,2
Public-key intermediate alliance,Emily Booker,1,1984,978-1-70204-639-8,0,2
Persevering dynamic orchestration,James Jones,2,1992,978-0-446-43780-6,1,1
Multi-lateral demand-driven migration,Brent Anderson,4,1987,978-1-64902-475-6,1,1
Inverse client-server strategy,鈴木 翼,8,1984,978-1-55303-474-2,2,1
Automated multi-state monitoring,Terri Sullivan,3,2010,978-1-277-56274-3,0,2
Digitized 5thgeneration functionalities,Kimberly Cohen,7,1998,978-1-81240-320-3,2,1
Exclusive 24hour migration,高橋 春香,4,1986,978-0-7306-4902-1,1,1
Mandatory context-sensitive process improvement,Gina Stephens,8,2000,978-1-67121-714-0,0,2
Monitored regional application,Matthew Bryan,5,2014,978-1-212-61359-2,0,2
Reduced bandwidth-monitored Graphic Interface,Mark Cooper,7,1987,978-0-85032-033-6,1,1
Multi-tiered web-enabled hub,鈴木 浩,8,2019,978-1-66908-470-9,2,1
Expanded needs-based interface,渡辺 真綾,1,2007,978-0-05-798451-5,2,1
Robust contextually-based info-mediaries,太田 七夏,3,1980,978-1-66453-706-4,1,1
Secured composite synergy,Gina Oneal,8,2014,978-1-85046-472-3,0,2
Synergized asynchronous task-force,佐藤 直子,6,1981,978-1-71368-463-3,1,1
Optional multimedia secured line,Tyler Ortiz,3,2013,978-1-4126-7066-1,0,2
Cross-platform eco-centric infrastructure,Brittany Martinez,8,1986,978-1-286-87694-7,0,2
Ameliorated transitional neural-net,George Case,3,1992,978-1-63523-327-8,0,2
Total bandwidth-monitored service-desk,渡辺 太郎,6,1983,978-1-318-66681-2,1,1
Profit-focused asynchronous conglomeration,Jodi Simpson,5,1988,978-1-125-08613-1,0,2
Reduced foreground matrices,Michael Carr,3,2015,978-1-5251-1199-0,0,2
Balanced foreground emulation,Carla Kelly,2,1987,978-1-63817-724-1,2,1
Quality-focused solution-oriented process improvement,Seth Rios,3,2023,978-0-356-50643-2,2,1
Versatile homogeneous project,Gregory Jimenez,7,1985,978-1-4508-8761-8,0,2
Progressive zero administration task-force,山崎 洋介,7,1990,978-1-147-58290-1,2,1
Self-enabling logistical alliance,Steven Browning,1,1993,978-1-77666-171-8,1,1
Team-oriented regional encryption,後藤 篤司,7,1980,978-1-950608-45-4,2,1
Realigned modular access,Joshua Romero,4,1980,978-1-83039-038-7,1,1
Sharable discrete matrices,Jillian Edwards,7,1993,978-1-7380924-2-0,2,1
Customizable value-added extranet,阿部 稔,3,1995,978-1-06-367278-6,0,2
Monitored neutral pricing structure,近藤 学,3,2017,978-0-86793-127-3,2,1
Total bifurcated migration,Stephanie Rivera,8,2020,978-1-207-50873-5,0,2
Total static middleware,Charles Murphy,1,2015,978-1-4160-5750-5,2,1
Vision-oriented methodical artificial intelligence,山本 七夏,7,2021,978-0-417-49505-7,1,1
Switchable heuristic Local Area Network,Amber Jenkins,6,2006,978-0-05-511219-4,0,2
Upgradable user-facing emulation,池田 聡太郎,8,1983,978-0-688-82000-8,2,1
Multi-lateral national circuit,Brad Hardin,4,1991,978-0-439-53310-2,1,1
Progressive national system engine,Julie Berg,5,1990,978-0-619-74154-9,2,1
Managed system-worthy archive,Frederick Wilson,2,1996,978-0-385-49590-5,0,2
Versatile mission-critical task-force,松本 裕美子,5,2008,978-0-909807-85-6,0,2
Exclusive intermediate standardization,Taylor Alexander,4,1983,978-0-08-936039-4,2,1
Synchronized optimal knowledge user,加藤 聡太郎,8,1983,978-0-03-826767-5,2,1
Pre-emptive mission-critical Internet solution,David Salinas,3,1990,978-1-154-85840-2,1,1
Public-key contextually-based support,John Oliver,7,1988,978-1-4037-0256-2,1,1
Phased even-keeled capability,Sarah Ochoa,8,2006,978-1-241-91899-6,2,1
Reactive logistical framework,加藤 充,5,2014,978-0-579-73940-2,1,1
Face-to-face motivating software,Eric Smith,7,2023,978-1-288-90202-6,1,1
Sharable explicit model,田中 翔太,7,2014,978-1-238-40024-4,2,1
Public-key context-sensitive matrix,Jessica Henry,8,2007,978-1-4814-3977-0,1,1
Stand-alone multimedia emulation,Laura Holmes,4,2015,978-0-698-71479-3,1,1
Team-oriented non-volatile intranet,佐藤 七夏,4,1986,978-0-590-26534-8,0,2
Devolved clear-thinking encryption,Randall Bailey,4,1998,978-0-03-509080-1,1,1
Self-enabling content-based throughput,Charles Odonnell,8,2007,978-1-63897-307-2,2,1
Innovative stable Graphic Interface,田中 裕太,5,1994,978-0-13-097053-4,1,1
Total logistical artificial intelligence,青木 春香,2,1993,978-1-4459-1393-3,1,1
Grass-roots solution-oriented synergy,Sherry Ellison,7,1994,978-1-00-819179-2,0,2
Proactive holistic leverage,森 修平,3,2006,978-0-09-223720-1,0,2
Open-architected optimal architecture,中川 裕樹,2,1989,978-0-05-039572-1,1,1
Ergonomic directional framework,岡田 学,5,2010,978-0-521-69146-8,1,1
Open-source systematic knowledge user,Heidi Bernard,1,1990,978-1-356-75754-1,1,1
Down-sized incremental moratorium,Steven Campbell,5,2016,978-0-256-14146-7,1,1
Reduced holistic contingency,Zachary Mcdonald,2,1992,978-1-4878-2140-1,0,2
Ergonomic tertiary leverage,田中 直子,1,2013,978-1-9753-1695-2,0,2
Visionary human-resource attitude,Chad Zimmerman,8,2001,978-1-301-78646-6,0,2
Open-source leadingedge superstructure,長谷川 知実,5,2001,978-0-01-228020-1,0,2
Reverse-engineered mobile firmware,Ruben Hall,8,2008,978-0-556-80839-8,2,1
User-centric responsive frame,三浦 聡太郎,7,2011,978-1-69510-361-0,1,1
Organized client-driven task-force,遠藤 直樹,2,1988,978-0-671-52461-6,1,1
Cloned 4thgeneration interface,Joseph Bruce,6,2000,978-1-926361-08-6,2,1
Reactive needs-based knowledge user,渡辺 健一,6,1988,978-0-86162-771-4,0,2
Programmable logistical strategy,斉藤 充,6,1991,978-0-564-19600-5,1,1
Assimilated bottom-line circuit,佐藤 くみ子,8,2007,978-1-86030-591-7,0,2
Fundamental global knowledge user,Tristan Harrington,3,2014,978-1-79634-941-2,1,1
Monitored regional process improvement,Lindsay Mann,3,2020,978-0-537-35387-9,2,1
Integrated scalable encoding,伊藤 幹,3,2004,978-1-68505-904-0,2,1
Integrated uniform projection,伊藤 治,5,2023,978-0-243-07890-5,1,1
Multi-tiered needs-based knowledge user,井上 太郎,6,1983,978-0-937496-20-6,1,1
Organic system-worthy time-frame,Andrew Meyer,1,1984,978-0-523-08428-2,1,1
Expanded non-volatile core,Jerry Olson,8,2023,978-1-4435-8317-6,0,2
Ameliorated actuating website,石井 裕美子,2,1987,978-1-67010-668-1,0,2
Reactive encompassing methodology,山本 裕樹,8,1981,978-1-287-84346-7,2,1
Triple-buffered global flexibility,Jacob Duran,2,2007,978-1-377-96246-7,0,2
Business-focused optimizing frame,長谷川 英樹,1,1994,978-1-197-34986-8,1,1
Business-focused 24/7 superstructure,山崎 春香,6,2014,978-1-312-62909-7,2,1
Expanded attitude-oriented concept,長谷川 知実,2,2007,978-1-935420-88-0,2,1
Configurable local moratorium,Shelia Vaughn,7,2012,978-0-04-252895-3,2,1
Cloned mobile help-desk,佐藤 翼,3,2010,978-0-220-83970-3,0,2
Proactive hybrid implementation,高橋 智也,6,2005,978-0-635-42185-2,0,2
Ergonomic exuding hardware,Alicia Maldonado,6,2000,978-1-4567-0989-1,0,2
Vision-oriented regional intranet,Kathryn Potter,6,1990,978-1-83692-935-2,1,1
Polarized 5thgeneration portal,Nicholas Arellano,6,2016,978-1-887128-89-6,1,1
Ergonomic background encryption,Eric Hurst,6,2005,978-1-966221-59-3,2,1
Fully-configurable executive software,斉藤 幹,3,2000,978-0-7453-2582-8,1,1
Business-focused 6thgeneration core,山田 和也,1,1980,978-0-549-05486-3,1,1
Expanded composite projection,坂本 幹,5,2016,978-0-473-23679-3,2,1
Configurable disintermediate secured line,Dustin Sparks,3,2008,978-1-111-36409-0,1,1
Balanced systemic database,Mary Griffin,5,1997,978-0-410-22059-5,2,1
Inverse client-server Local Area Network,Shawn Wilson,7,2003,978-1-900436-89-2,2,1
Total modular knowledge user,山下 春香,7,1999,978-1-5258-7527-4,0,2
User-centric 3rdgeneration utilization,橋本 洋介,7,2021,978-0-396-92496-8,0,2
Open-architected discrete project,Jennifer Edwards,8,2016,978-1-4394-9206-2,2,1
Ergonomic high-level matrix,吉田 知実,3,2014,978-0-8072-8286-1,0,2
Reactive radical benchmark,Lawrence Valenzuela,8,1991,978-0-86999-349-1,1,1
Horizontal eco-centric system engine,鈴木 稔,4,1999,978-0-13-586026-7,1,1
Progressive analyzing standardization,Kari Kent,4,2013,978-0-905600-26-0,0,2
Re-engineered optimizing intranet,Bonnie Clark,6,1983,978-1-269-93336-0,2,1
Managed contextually-based challenge,Daniel Davis,8,2001,978-0-337-59657-5,2,1
Re-engineered methodical firmware,渡辺 陽子,1,2011,978-0-949132-60-4,2,1
Robust neutral help-desk,Jonathan Wright,7,1995,978-0-11-433331-7,0,2
Universal fault-tolerant model,井上 千代,2,1984,978-0-8119-3126-7,0,2
Profound directional focus group,Justin Williams,8,2004,978-0-356-60218-9,0,2
Business-focused executive application,鈴木 千代,1,1990,978-1-07-761489-5,1,1
Function-based zero-defect protocol,Vanessa Johnson,5,2019,978-1-4804-4595-6,2,1
Distributed modular process improvement,Patricia Lopez,1,1982,978-1-295-34941-8,0,2
Optional optimal open architecture,中村 陽子,2,1989,978-0-07-494312-0,0,2
Profound discrete ability,青木 亮介,3,1987,978-0-01-440029-4,0,2
Object-based dynamic model,Vanessa Ramos,3,1988,978-0-85128-863-5,0,2
Implemented optimal flexibility,小川 聡太郎,5,2018,978-0-247-56029-1,0,2
Implemented hybrid standardization,鈴木 美加子,4,2003,978-1-950451-90-6,0,2
Fundamental value-added monitoring,Robert Hill,5,2006,978-0-436-58031-4,0,2
Mandatory next generation middleware,伊藤 翼,4,2003,978-1-66734-555-0,2,1
Triple-buffered global hardware,John Spencer,8,1990,978-0-232-94649-9,1,1
Sharable grid-enabled definition,松本 太郎,3,1989,978-0-09-255264-9,1,1
Decentralized scalable toolset,Laura Burch,4,2006,978-0-310-04389-8,0,2
Persistent heuristic forecast,田中 零,8,2016,978-1-83465-812-4,0,2
Synchronized disintermediate core,Angela Williams,1,2002,978-0-663-91172-1,1,1
Optimized 6thgeneration data-warehouse,Robert Tran,7,1984,978-0-338-00103-0,1,1
Persistent dedicated complexity,山本 涼平,5,1984,978-1-03-091325-6,2,1
Front-line attitude-oriented ability,鈴木 美加子,6,2007,978-0-06-374767-8,0,2
Proactive background complexity,Hector Young,7,2023,978-0-277-51495-0,0,2
User-centric analyzing interface,斎藤 学,1,2021,978-1-55277-789-3,0,2
Switchable context-sensitive throughput,加藤 太一,1,2002,978-0-576-66554-4,1,1
Versatile foreground encoding,松本 春香,6,2020,978-1-385-85140-1,0,2
Distributed incremental Graphical User Interface,石川 裕美子,7,2005,978-1-5039-1598-5,1,1
Enterprise-wide responsive artificial intelligence,中村 春香,3,2010,978-0-7572-1347-2,1,1
Stand-alone uniform access,Paul Chen,5,2023,978-0-9964795-7-8,0,2
Horizontal analyzing adapter,Paul Flores,6,2022,978-0-05-224399-0,2,1
Persistent non-volatile structure,渡辺 美加子,1,2004,978-1-08-042903-5,2,1
Organic regional initiative,清水 英樹,4,1997,978-1-86215-171-0,2,1
Monitored responsive help-desk,藤田 加奈,8,1981,978-1-4132-2975-2,0,2
Adaptive empowering challenge,中島 幹,7,2003,978-0-00-855487-3,0,2
Cross-group systematic hardware,Ryan Sanders,3,1991,978-0-07-579299-4,0,2
Triple-buffered bifurcated system engine,Charles Singleton,8,1996,978-0-19-700411-1,0,2
Intuitive homogeneous moratorium,小林 拓真,1,1998,978-1-09-389668-8,2,1
Virtual 3rdgeneration matrix,Kelly Gomez,8,1999,978-1-190-03305-4,1,1
Fully-configurable web-enabled intranet,Brian Ward,6,2018,978-0-355-35670-0,1,1
Reduced discrete workforce,佐藤 結衣,6,2018,978-1-132-55186-8,1,1
Exclusive cohesive hierarchy,Terri Baker,5,1991,978-0-669-10078-5,1,1
Assimilated solution-oriented analyzer,伊藤 桃子,1,2016,978-1-81175-137-4,0,2
Persistent foreground neural-net,Marvin Harrison,2,1988,978-1-188-71925-0,2,1
Monitored uniform infrastructure,Felicia Ramirez,8,2021,978-1-950109-88-3,2,1
Ameliorated uniform project,Catherine Nichols,6,1995,978-1-301-70451-4,1,1
Horizontal object-oriented intranet,Anthony Wilson,3,2020,978-1-307-39453-5,1,1
Team-oriented fresh-thinking open architecture,渡辺 洋介,5,2002,978-1-4736-8828-5,1,1
Programmable motivating knowledgebase,山崎 舞,7,2002,978-1-145-69527-6,2,1
Visionary mission-critical leverage,山口 さゆり,6,1989,978-1-69519-753-4,2,1
Programmable web-enabled emulation,佐藤 翔太,3,1992,978-1-4274-2159-3,2,1
Customizable grid-enabled synergy,三浦 千代,1,1995,978-1-989523-52-0,1,1
